mode,hold_n,tp,sl,trail,n,total_ret,avg_ret,median_ret,win_rate,p95,p05,max_ret,min_ret
trail,10,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,15,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,20,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
